GEOID,Tract_Name,LST_C_mean,LST_C_max,LST_C_min,Avg_Air_Temp_C,Max_Air_Temp_C,Min_Air_Temp_C,Avg_Wind_ms,Max_Wind_ms,Min_Wind_ms,Avg_Humidity_percent
11001005302,Census Tract 53.02,40.1066817180112,42.179039172176964,35.91955495042749,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001004402,Census Tract 44.02,41.63582916142661,43.50665347287951,38.249891769197575,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001010602,Census Tract 106.02,40.82651826592529,41.99121477062028,38.41382070532113,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000804,Census Tract 8.04,31.881231534171786,33.543797913398635,28.981781618776907,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003902,Census Tract 39.02,34.04721586378089,35.391513067150484,31.262038805114496,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000101,Census Tract 1.01,36.31932007361021,38.69914632003104,32.521352120786666,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000903,Census Tract 9.03,35.485277910717315,36.65382913084111,34.13502566580306,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001001004,Census Tract 10.04,36.931324561851554,38.035292661701796,35.375653639339866,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000102,Census Tract 1.02,32.99738635135103,35.01911708215691,30.006058182265814,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003701,Census Tract 37.01,39.82093211938503,41.667319987436095,36.93581913530946,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002504,Census Tract 25.04,36.13245792592449,39.64596379252215,30.01958835146456,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000703,Census Tract 7.03,35.30138102686018,36.908399974185194,33.074348190188914,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003901,Census Tract 39.01,39.81658012166062,41.38690340061935,37.70015679064757,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002703,Census Tract 27.03,37.47670834924263,39.3723617165788,34.32330986615277,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001004401,Census Tract 44.01,41.73716173374612,43.76422717269572,37.74714637052538,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001001003,Census Tract 10.03,35.88587779587906,37.00216570294809,34.59027190752357,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003802,Census Tract 38.02,40.47754962598412,42.885068513796575,36.95334660193372,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003702,Census Tract 37.02,39.820803808236676,42.20389413843455,36.72600318538622,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005502,Census Tract 55.02,40.54267002957457,42.40575511758606,36.362919902878104,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000803,Census Tract 8.03,36.93228514959048,37.76823901791231,35.73432698469741,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001003801,Census Tract 38.01,41.13090828036964,42.99721352196168,37.9699644595808,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000904,Census Tract 9.04,33.41949360162253,34.65811176084366,31.053143988714798,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001000704,Census Tract 7.04,37.5498951020494,38.964475678823305,35.38497027662227,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001001304,Census Tract 13.04,32.9641278690383,33.74576164297633,31.426976461552584,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001001303,Census Tract 13.03,32.29940615524491,33.358167576578495,30.32341792444267,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002704,Census Tract 27.04,32.74953072781002,33.99822429759943,30.244326609100256,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001002503,Census Tract 25.03,38.55961073407898,41.54925112138765,34.71215417746726,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005601,Census Tract 56.01,38.24408707855795,39.93312399233987,34.68213387421616,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005501,Census Tract 55.01,39.54718606013025,41.792220739881884,35.35150419261229,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005602,Census Tract 56.02,37.95546669098749,39.59423317775663,34.17678547873722,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
11001005303,Census Tract 53.03,39.81227109431584,42.421359187337,34.89216081378174,25.96847826086957,37.2,14.4,3.4067028985507255,7.194444444444445,1.8055555555555556,65.0
